Дата;Часы;Факт, Мвт*ч;Плановая температура;
31.07.2013;23;8,228;17;
01.08.2013;0;8,068;16;
01.08.2013;1;8,119;16;
01.08.2013;2;8,094;16;
01.08.2013;3;8,056;16;
01.08.2013;4;7,805;16;
01.08.2013;5;7,766;17;
01.08.2013;6;8,278;17;
01.08.2013;7;8,321;17;
01.08.2013;8;8,421;18;
01.08.2013;9;8,501;19;
01.08.2013;10;8,615;19;
01.08.2013;11;8,67;20;
01.08.2013;12;8,601;21;
01.08.2013;13;8,581;22;
01.08.2013;14;8,686;22;
01.08.2013;15;8,942;22;
01.08.2013;16;8,888;21;
01.08.2013;17;8,779;20;
01.08.2013;18;8,417;19;
01.08.2013;19;8,328;19;
01.08.2013;20;8,048;18;
01.08.2013;21;8,266;17;
01.08.2013;22;8,149;16;
01.08.2013;23;7,938;16;
02.08.2013;0;7,909;16;
02.08.2013;1;7,816;15;
02.08.2013;2;7,893;15;
02.08.2013;3;7,997;15;
02.08.2013;4;7,956;15;
02.08.2013;5;7,946;16;
02.08.2013;6;8,082;18;
02.08.2013;7;8,332;20;
02.08.2013;8;8,409;21;
02.08.2013;9;8,715;23;
02.08.2013;10;8,687;24;
02.08.2013;11;8,614;25;
02.08.2013;12;8,715;26;
02.08.2013;13;8,816;26;
02.08.2013;14;8,746;26;
02.08.2013;15;8,896;25;
02.08.2013;16;9,118;24;
02.08.2013;17;8,82;23;
02.08.2013;18;8,872;22;
02.08.2013;19;8,824;21;
02.08.2013;20;8,324;20;
02.08.2013;21;8,422;19;
02.08.2013;22;8,249;18;
02.08.2013;23;8,195;17;
03.08.2013;0;8,182;18;
03.08.2013;1;8,241;17;
03.08.2013;2;8,396;17;
03.08.2013;3;8,278;17;
03.08.2013;4;8,225;17;
03.08.2013;5;8,337;18;
03.08.2013;6;8,434;19;
03.08.2013;7;8,485;20;
03.08.2013;8;8,648;22;
03.08.2013;9;9,068;22;
03.08.2013;10;9,047;23;
03.08.2013;11;8,946;24;
03.08.2013;12;9,131;24;
03.08.2013;13;9,136;25;
03.08.2013;14;9,241;25;
03.08.2013;15;8,857;24;
03.08.2013;16;8,964;24;
03.08.2013;17;9,098;23;
03.08.2013;18;8,996;22;
03.08.2013;19;8,61;21;
03.08.2013;20;8,279;20;
03.08.2013;21;8,17;19;
03.08.2013;22;8,215;18;
03.08.2013;23;8,111;18;
04.08.2013;0;8,156;18;
04.08.2013;1;8,086;18;
04.08.2013;2;8,156;17;
04.08.2013;3;8,246;17;
04.08.2013;4;8,047;17;
04.08.2013;5;8,002;18;
04.08.2013;6;8,177;20;
04.08.2013;7;8,543;22;
04.08.2013;8;8,741;24;
